Ground Truth,Water,Land,Road,Building,Vegetation,BareSoil
Water,506083,339292,319533,35149,17271,0
Land,341454,14575485,9745687,729670,626805,0
Road,126148,3045906,38993623,1462258,83449,0
Building,40127,464475,4488236,8007274,38901,0
Vegetation,56671,2498770,690882,239052,1343094,0
BareSoil,0,0,0,0,0,0
