Ground Truth,Water,Land,Road,Building,Vegetation,BareSoil
Water,343024,438223,130605,64143,21708,0
Land,236175,9673750,2949288,959774,658052,0
Road,450364,2463930,16641221,3190658,225374,0
Building,394044,1933674,4762080,36811495,174392,0
Vegetation,59697,2399353,754011,385653,2170230,0
BareSoil,0,0,0,0,0,0
