epoch,train_loss,val_loss,train_acc,exam_acc,exam_f1,exam_kappa,exam_miou
1,0.17937082718465366,0.22525539453039134,0.7285531318481064,0.6705419714025608,0.5896009337148986,0.5146678069641246,0.3564536107772916
2,0.19397349022027618,0.24063912215681116,0.7109214451949954,0.7000857453662683,0.5652671946800006,0.5306928312030785,0.3455848896812325
3,0.18840913265702539,0.1941771172822718,0.7186483617522315,0.694972605788226,0.5221723690951413,0.4870523683517919,0.31681677529275104
4,0.18756398750403822,0.19770158614431108,0.718134913936927,0.6985790003850125,0.5665580689304309,0.496494132090029,0.3428148171688287
5,0.18868059129767983,0.21164739252658563,0.7138113935726924,0.6664781330738134,0.5470861858274134,0.497290983719754,0.32981832037872416
6,0.18236680694346158,0.18148293695165177,0.7202333928831388,0.7280420675290219,0.6226847692406833,0.5620013686030128,0.386894354471045
7,0.18731434081964737,0.19953802074696056,0.7178385487892737,0.7038083023875561,0.5592127479962399,0.5206875627785965,0.34084274683204896
8,0.18777772132934867,0.18541569091652332,0.7197088652590107,0.725348331050412,0.6219848065151634,0.5635563920221056,0.3866279633455945
9,0.18174816118528178,0.1940050623132248,0.7287822417666657,0.6997543384841541,0.5547398353864949,0.4999670077850814,0.33804008988541495
10,0.17298611842417172,0.19202152054884428,0.7331529368513665,0.7088204008104685,0.5917113526543629,0.5539681959303457,0.36517819537769775
11,0.17247957996823235,0.17725831938307146,0.7339026793543725,0.729006957641699,0.593892308331469,0.5624325837189499,0.3700661670189101
12,0.16593045140855076,0.17647159893237221,0.7442891579557153,0.7286277661972524,0.6069059790924035,0.5580057743887176,0.3761467702719406
13,0.1612338859869062,0.17446216942968976,0.7525754995871982,0.7279096353843107,0.6016490440234982,0.5551434468406908,0.3720060961663047
14,0.15764284300846312,0.1722402378241614,0.7529773334613609,0.7331275091750807,0.6232713677909001,0.5669931743594583,0.3881801137986982
15,0.1573885415236383,0.17145126112302436,0.7526703622259262,0.7332748599213683,0.618119759945221,0.5686850795806153,0.38536487417782306
16,0.15679961165056797,0.17125857702908331,0.7557753536390086,0.7343590538093692,0.6273570319526958,0.5726121388956912,0.3916647616176517
17,0.15951524279017573,0.17147933038384813,0.7539355263819131,0.733816106786562,0.6192847956512526,0.5706824007377186,0.3861804094840912
18,0.15754217974781348,0.17407343222362726,0.7556092749369158,0.7341171810553576,0.6197602819711424,0.5740361762592097,0.3868237987676819
19,0.15583764485552948,0.17130117918724258,0.757096101063963,0.732102077688308,0.62072906761749,0.563619288181525,0.38581384861905926
20,0.1601668826989689,0.17312952642545648,0.7512205652936884,0.7351926264502077,0.6273724096425539,0.5764214761087612,0.3922374719323523
21,0.1567018948686171,0.1721990405842486,0.7538465852562142,0.734084664133582,0.6191329085111932,0.5717353515803232,0.386347476634179
22,0.1585074273462726,0.1760033349965071,0.7544059050591183,0.7314210801191394,0.6259813090056755,0.5750973074615935,0.3908849446196025
23,0.15783668108123813,0.17173173179720236,0.7534792014289637,0.7354855151919497,0.6221056010594576,0.5740463751740316,0.3886320575205329
24,0.15885359606883837,0.17476533826686874,0.7519487403303502,0.7342211946714808,0.629951335727772,0.5789210805899148,0.3942594767795253
25,0.1577048651457355,0.17357895287785155,0.7543253461640853,0.7335779045715043,0.6186208316183235,0.5709978373095458,0.3856841858574735
