Ground Truth,Water,Land,Road,Building,Vegetation,BareSoil
Water,596764,407163,167190,23687,22524,0
Land,315131,17579613,6637050,623939,863368,0
Road,180459,5087897,36576316,1725535,141177,0
Building,73592,825885,3417699,8655354,66483,0
Vegetation,41627,2447436,386073,151308,1802025,0
BareSoil,0,0,0,0,0,0
