epoch,train_loss,val_loss,train_acc,exam_acc,exam_f1,exam_kappa,exam_miou
1,0.12933722010033355,0.2061289740713157,0.7994177562207271,0.6990500678965261,0.5319979342366914,0.5153443356639217,0.3272702188074732
2,0.14007473467672998,0.24884233055768235,0.780501214552584,0.6644987893132596,0.5213762737132572,0.4184337816803365,0.30510502114840127
3,0.14354223868734128,0.21548866578669165,0.7795372167520331,0.6875057612542975,0.47883613368454847,0.4712789705591778,0.28951881904304466
4,0.14889003007949606,0.2259290663485878,0.7717598151727867,0.6980513660400497,0.5485156508717768,0.5216170766864746,0.33507843452938824
5,0.14652914806848039,0.2307084383489179,0.7757292236705866,0.7017225467753049,0.5470374034288596,0.5028652840172662,0.3316711778595381
6,0.14127894519903772,0.20672912401319818,0.7881583419618403,0.7020704710827116,0.5729036113182387,0.5272674013283732,0.34973606208638347
7,0.14656780287623405,0.2290684130117561,0.7728015679604834,0.6897475260314115,0.5561770835472405,0.5107883336043191,0.33666624689439645
8,0.14298721046715573,0.20768157493679343,0.7875635327141806,0.6965973372041381,0.5699505283714387,0.5263521091278833,0.34788200190115726
9,0.14353038087436878,0.23690095291183788,0.7813896883107679,0.6660029333911462,0.5119858242579121,0.47162720090819366,0.3034227312827525
10,0.13625454167029946,0.1994932975373731,0.7910831761829584,0.7017886277357971,0.5832288927895644,0.5091896840316997,0.3530032552447513
11,0.13831490451923092,0.19703252842691601,0.7880003385786782,0.7114754277402332,0.5920166509541575,0.5442189112298885,0.3637686826905582
12,0.13682689339023185,0.19719353710755336,0.7824111657473862,0.7059375977977667,0.5853524791926297,0.5287185984137097,0.3573557441790993
13,0.129958644609999,0.19907299934423484,0.7995204124885664,0.7048417392522313,0.5847886654689871,0.5339092859034447,0.3580654236895582
14,0.12510743559766058,0.19685321890143181,0.8053281522921645,0.7074248303740927,0.5847374504436553,0.5282902105372659,0.3563702823235204
15,0.12285288765623763,0.19694964086181685,0.8098929277738189,0.710840593391037,0.6003694999110947,0.5430246697246736,0.369100230131449
16,0.13029442848385991,0.19667909095897268,0.8014238676971007,0.7093209001895451,0.5786711209669959,0.526118186903447,0.35233869795865785
17,0.12913376871949514,0.19644178858372122,0.7996826152971946,0.7117954289292177,0.5917124386964628,0.5370016335516941,0.36259911174608445
18,0.125767949955991,0.19595435004980427,0.8044478477288326,0.7082877448079185,0.5942552233894745,0.5300829503481965,0.36284807353606147
19,0.12335634083059188,0.19483483133237223,0.8066730511056956,0.7124241945038858,0.5962881847996517,0.5376422037081239,0.3655252809614498
20,0.12842730335211633,0.20064111839025472,0.8020348512944073,0.7074366301434905,0.5943870919344548,0.5337033384769548,0.36347005419317996
21,0.12514368296172973,0.19622538268671688,0.8094902094332219,0.7095931393348409,0.5987494380912464,0.5380411032509044,0.36715766746716944
22,0.12596233968144735,0.1959943041324158,0.8035414279883833,0.708487440141926,0.5912426729218355,0.529911772022169,0.36072946323385363
23,0.12805494224350597,0.19666792569437902,0.8033215486956191,0.7106831092549993,0.5988320768695108,0.5422405554977505,0.3680698377761709
24,0.12474830974698872,0.1945408763014299,0.8092940831407504,0.710552557417053,0.5894118858962655,0.5312830803510513,0.3598805850112234
25,0.1265081616772993,0.1941598992126223,0.8060364772594549,0.7148399158050424,0.6025829600924998,0.5466935748458424,0.3712229773205882
