epoch,train_loss,val_loss,train_acc,confident_pseudo_pixels,exam_acc,exam_f1,exam_kappa,exam_miou
1,0.12185350996386371,0.20443964852273042,0.8119881223497712,688413784,0.7287884711334787,0.5853711323831581,0.571214047238233,0.36321171570103
2,0.12209417904632355,0.20326880989607243,0.8131228293674879,687988692,0.7214081356609454,0.5728669426170384,0.5558059043300831,0.3529536248711438
3,0.11751762625041925,0.2076228530912571,0.8156176806654591,689846756,0.7090329978388736,0.547000277967312,0.5364049983662393,0.3342771095189214
4,0.19503143443140442,0.228234429838226,0.827995909979821,694999975,0.66901657702819,0.46919663294346103,0.4549462525322088,0.2787824131043893
5,0.2402039213541025,0.2616998590199099,0.7866836294916436,699999864,0.6342430974118116,0.39496726732722315,0.36549030007212563,0.23572174642571864
6,0.2601108596197324,0.2803081719901901,0.7359735234083059,700445180,0.6193391576835734,0.35978280590957723,0.3259050985201799,0.21816748645694697
7,0.24057548571221843,0.2999269969589841,0.7237567360589964,700448553,0.6084659801164802,0.3476855549701374,0.2956963663809635,0.21301091404966432
8,0.2402928230648269,0.3268619899362009,0.713161551895207,700448768,0.5817866355902297,0.32938534276477066,0.25848347927597265,0.1979647072571972
9,0.22713138891417467,0.34890034122100055,0.7205926678706391,700448768,0.5505514448609284,0.3088941777875122,0.21605450815617405,0.18040611280831328
10,0.22089320004075588,0.36574752278485223,0.7260342606521379,700448768,0.5455331155885967,0.29570366562346057,0.2055119616457422,0.17203617365660684
11,0.22020631486516512,0.38008010437560336,0.7220000941720889,700448768,0.5613971888356885,0.3033418162547618,0.22707129231346534,0.1796114975992772
