epoch,train_loss,val_loss,train_acc,confident_pseudo_pixels,exam_acc,exam_f1,exam_kappa,exam_miou
1,0.1268474906887727,0.2002332850866275,0.8050811342775104,715134415,0.7326446699636175,0.6129683792632797,0.5773507519825988,0.3810365177790195
2,0.1242814185328993,0.2062810861374721,0.8104080497500906,698359088,0.7261454260781685,0.5994589581946292,0.569018694568326,0.37088588426050384
3,0.11928229329526319,0.20760020361652481,0.8172729400064919,688549677,0.7208975267401097,0.5881438567039882,0.5553379737467651,0.3612338059707684
4,0.24379461414002357,0.24078398337312826,0.8259217258659621,669294285,0.6819822231214834,0.5338342808389264,0.49906769305159665,0.32019222513873546
5,0.441973559209641,0.36978085745904493,0.8145525344853446,725189351,0.5403388314610531,0.37088718085880507,0.36517193090731787,0.22510912092036314
6,0.6130114103462679,0.3459604109077766,0.7996965153384259,738945671,0.5758568382272142,0.3745501155872684,0.3786776578566202,0.22957651268897586
7,0.400270451658161,0.28993389750869314,0.797307353117952,737004652,0.5982182020066072,0.34556997018921304,0.28279608220434094,0.20618994963048
8,0.31522257704261347,0.28867306816474114,0.7770282254609082,737040524,0.5934331667790887,0.3240512158351416,0.27239362882032103,0.1950969141810225
9,0.27459387941986113,0.29968758647405974,0.7627773708090291,739014381,0.5851417385833164,0.30941387615016763,0.2555006361070669,0.18652094822740867
10,0.2511497405615259,0.30811269452670037,0.7680515538230116,739107936,0.5675827510110938,0.29158510903428714,0.2340645023712296,0.17371658809840257
11,0.23682683600601576,0.31907088095113334,0.7668993666287538,739162853,0.5633051153909037,0.28613154163440657,0.22723618464943918,0.17022975549685398
12,0.22499958733294873,0.32959988181080135,0.7705700302366637,739199775,0.5597632402617043,0.2725734175582509,0.22135191011063882,0.16307619960446476
13,0.21254829868991323,0.337308564494939,0.779317913138364,739217205,0.5535630875045263,0.25800988689097426,0.2118425237391569,0.1547160106012312
