Ground Truth,Water,Land,Road,Building,Vegetation,BareSoil
Water,467651,472052,209987,30278,37360,0
Land,229188,16886291,6994734,505991,1402897,0
Road,87432,5904549,36156454,1348541,214408,0
Building,34411,1435284,3974365,7439473,155480,0
Vegetation,33274,2269705,434158,129633,1961699,0
BareSoil,0,0,0,0,0,0
