Ground Truth,Water,Land,Road,Building,Vegetation,BareSoil
Water,403467,256001,199307,106528,32400,0
Land,118199,7939190,3965154,1683906,770590,0
Road,47500,1183465,17406730,4190030,143822,0
Building,39223,698979,4246024,39004966,86493,0
Vegetation,21307,1775804,1238543,656032,2077258,0
BareSoil,0,0,0,0,0,0
