Ground Truth,Unchanged,Change1,Change2,Change3,Change4
Unchanged,196654441,21153606,39630,19547,3778
Change1,15912761,27798491,655,4424,2009
Change2,8139845,1775619,155869,3454,420
Change3,4878184,1180410,29331,195196,18676
Change4,4588323,138909,3207,0,3
